antecedents,consequents,support,confidence,lift
"butter, other vegetables",whole milk,0.011489578037620742,0.5736040609137055,2.2448849737709087
cream cheese,yogurt,0.012404677173360447,0.3128205128205128,2.2424123495552064
"root vegetables, tropical fruit",whole milk,0.011997966446365024,0.570048309178744,2.230969009459987
frozen vegetables,root vegetables,0.011591255719369599,0.24101479915433405,2.211175885898205
"citrus fruit, whole milk",other vegetables,0.013014743263853584,0.42666666666666664,2.2050796987213173
"root vegetables, yogurt",whole milk,0.014539908490086425,0.562992125984252,2.2033535849801504
whipped/sour cream,root vegetables,0.01708185053380783,0.23829787234042554,2.186249603048587
"other vegetables, whole milk",tropical fruit,0.01708185053380783,0.2282608695652174,2.1753349342770476
"tropical fruit, yogurt",other vegetables,0.012302999491611592,0.4201388888888889,2.171343127809891
pork,root vegetables,0.01362480935434672,0.23633156966490299,2.16820987654321
"domestic eggs, other vegetables",whole milk,0.012302999491611592,0.5525114155251142,2.1623357627097084
chicken,other vegetables,0.017895271987798677,0.4170616113744075,2.1554392789633723
"butter, whole milk",other vegetables,0.011489578037620742,0.4169741697416974,2.154987367004516
hamburger meat,other vegetables,0.013828164717844434,0.41590214067278286,2.149446954028807
butter,root vegetables,0.012913065582104729,0.23302752293577983,2.137897097083391
"other vegetables, whole milk",yogurt,0.02226741230299949,0.2975543478260869,2.132978870896184
"root vegetables, whole milk",yogurt,0.014539908490086425,0.2972972972972973,2.1311362382790953
"domestic eggs, whole milk",other vegetables,0.012302999491611592,0.41016949152542376,2.119819731556775
"tropical fruit, whole milk",other vegetables,0.01708185053380783,0.4038461538461539,2.087139738873843
whipped/sour cream,other vegetables,0.02887646161667514,0.40283687943262414,2.081923651718265
whipped/sour cream,yogurt,0.02074224707676665,0.2893617021276596,2.0742509769865394
domestic eggs,root vegetables,0.014336553126588714,0.22596153846153844,2.0730706443742823
"rolls/buns, whole milk",root vegetables,0.012709710218607015,0.2244165170556553,2.058895937726091
"whole milk, yogurt",other vegetables,0.02226741230299949,0.39745916515426494,2.0541307878571704
"whipped/sour cream, yogurt",whole milk,0.010879511947127605,0.5245098039215685,2.0527472827571134
"rolls/buns, root vegetables",whole milk,0.012709710218607015,0.5230125523012552,2.04688756541299
"fruit/vegetable juice, whole milk",other vegetables,0.01047280122013218,0.3931297709923664,2.0317558054177214
"other vegetables, pip fruit",whole milk,0.013523131672597865,0.5175097276264592,2.0253514409893456
"tropical fruit, yogurt",whole milk,0.015149974580579562,0.517361111111111,2.0247698081089442
"other vegetables, yogurt",whole milk,0.02226741230299949,0.5128805620608898,2.0072345116867694
tropical fruit,yogurt,0.029283172343670564,0.27906976744186046,2.0004746084480303
yogurt,tropical fruit,0.029283172343670564,0.20991253644314867,2.0004746084480303
"other vegetables, whipped/sour cream",whole milk,0.014641586171835282,0.5070422535211268,1.9843854211620697
"rolls/buns, whole milk",yogurt,0.015556685307574987,0.2746858168761221,1.9690488403619975
citrus fruit,root vegetables,0.017691916624300967,0.21375921375921378,1.9611211448898018
"other vegetables, root vegetables",yogurt,0.012913065582104729,0.27253218884120173,1.9536108434790225
"fruit/vegetable juice, other vegetables",whole milk,0.01047280122013218,0.4975845410628019,1.9473712540201578
butter,whole milk,0.02755465175394001,0.4972477064220184,1.9460530014566455
beef,other vegetables,0.019725470259278087,0.37596899224806196,1.943066231613079
pork,other vegetables,0.021657346212506354,0.37566137566137564,1.9414764212452071
"other vegetables, rolls/buns",yogurt,0.011489578037620742,0.26968973747016706,1.9332351078856362
curd,whole milk,0.026131164209456024,0.4904580152671756,1.9194805332879712
butter milk,other vegetables,0.010371123538383325,0.3709090909090909,1.9169158744565995
"other vegetables, root vegetables",whole milk,0.023182511438739197,0.4892703862660944,1.9148325702057454
frozen vegetables,other vegetables,0.017793594306049824,0.3699788583509514,1.912108287904155
butter,yogurt,0.014641586171835282,0.26422018348623855,1.8940273357049242
pip fruit,root vegetables,0.015556685307574987,0.20564516129032256,1.8866792549350024
citrus fruit,yogurt,0.021657346212506354,0.2616707616707617,1.8757521436092865
"soda, whole milk",yogurt,0.01047280122013218,0.26142131979695427,1.873964052626126
curd,root vegetables,0.010879511947127605,0.20419847328244276,1.8734067021761422
butter,other vegetables,0.020030503304524657,0.3614678899082569,1.868122279163272
"other vegetables, tropical fruit",whole milk,0.01708185053380783,0.47592067988668557,1.862586504849006
"citrus fruit, yogurt",whole milk,0.010269445856634469,0.47417840375586856,1.855767847568232
fruit/vegetable juice,yogurt,0.018708693441789527,0.2587904360056259,1.8551049111627773
domestic eggs,whole milk,0.029994916115912557,0.47275641025641024,1.8502026640954214
frozen vegetables,yogurt,0.012404677173360447,0.25792811839323465,1.8489235017474217
tropical fruit,root vegetables,0.021047280122013217,0.2005813953488372,1.8402220366192295
"other vegetables, pork",whole milk,0.010167768174885612,0.4694835680751174,1.837393908483398
"other vegetables, pastry",whole milk,0.010574478901881037,0.46846846846846846,1.8334211648974879
domestic eggs,other vegetables,0.02226741230299949,0.35096153846153844,1.8138238206879824
citrus fruit,other vegetables,0.02887646161667514,0.34889434889434895,1.8031402634660652
"soda, whole milk",other vegetables,0.013929842399593289,0.3477157360406091,1.7970490089119235
cream cheese,other vegetables,0.013726487036095577,0.34615384615384615,1.7889769190347224
pip fruit,other vegetables,0.026131164209456024,0.3454301075268817,1.7852365252374574
frankfurter,rolls/buns,0.019217081850533807,0.3258620689655172,1.7716160576428202
"rolls/buns, yogurt",whole milk,0.015556685307574987,0.45266272189349116,1.7715630202238302
sausage,rolls/buns,0.030604982206405694,0.3257575757575758,1.7710479588589043
tropical fruit,other vegetables,0.035892221657346214,0.34205426356589147,1.7677896385551983
"citrus fruit, other vegetables",whole milk,0.013014743263853584,0.45070422535211263,1.7638981521440618
whipped/sour cream,whole milk,0.032231825114387394,0.449645390070922,1.759754242478121
"sausage, whole milk",other vegetables,0.010167768174885612,0.3401360544217687,1.7578760353326826
root vegetables,whole milk,0.048906964921199794,0.44869402985074625,1.7560309524799398
"rolls/buns, tropical fruit",whole milk,0.010981189628876462,0.4462809917355372,1.7465871682128962
margarine,yogurt,0.014234875444839857,0.24305555555555555,1.7423115079365077
margarine,other vegetables,0.019725470259278087,0.3368055555555555,1.7406634991533834
sugar,whole milk,0.015048296898830707,0.4444444444444445,1.7393995666976168
hamburger meat,whole milk,0.014743263853584139,0.4434250764525994,1.7354101181501451
"rolls/buns, yogurt",other vegetables,0.011489578037620742,0.334319526627219,1.7278153149651596
ham,whole milk,0.011489578037620742,0.44140625,1.7275091399721447
sliced cheese,whole milk,0.010777834265378749,0.4398340248962655,1.7213560027277242
pip fruit,yogurt,0.017996949669547534,0.2379032258064516,1.7053777156023697
"bottled water, other vegetables",whole milk,0.010777834265378749,0.4344262295081967,1.7001917895794327
root vegetables,yogurt,0.025826131164209457,0.2369402985074627,1.6984750989948219
white bread,other vegetables,0.013726487036095577,0.32608695652173914,1.6852681121341588
napkins,yogurt,0.012302999491611592,0.23495145631067962,1.684218347533188
curd,other vegetables,0.017183528215556684,0.32251908396946566,1.6668287918232763
"other vegetables, soda",whole milk,0.013929842399593289,0.42546583850931674,1.6651239640824234
frozen vegetables,whole milk,0.02043721403152008,0.4249471458773784,1.6630939831691272
sugar,other vegetables,0.010777834265378749,0.3183183183183183,1.6451185815347664
"other vegetables, rolls/buns",whole milk,0.017895271987798677,0.4200477326968974,1.6439193995519241
"pastry, whole milk",other vegetables,0.010574478901881037,0.3180428134556575,1.6436947295514406
"rolls/buns, whole milk",other vegetables,0.017895271987798677,0.31597845601436264,1.6330258091966665
cream cheese,whole milk,0.016471784443314694,0.41538461538461546,1.6256695950289266
butter milk,whole milk,0.011591255719369599,0.41454545454545455,1.622385414028868
"bottled water, whole milk",other vegetables,0.010777834265378749,0.3136094674556213,1.6207825078434237
domestic eggs,yogurt,0.014336553126588714,0.22596153846153844,1.6197753139717421
margarine,whole milk,0.024199288256227757,0.4131944444444444,1.6170980346641903
dessert,other vegetables,0.011591255719369599,0.31232876712328766,1.6141636493208271
yogurt,other vegetables,0.04341637010676157,0.3112244897959184,1.6084565723294046
other vegetables,yogurt,0.04341637010676157,0.22438255386232264,1.6084565723294044
hard cheese,whole milk,0.010066090493136757,0.4107883817427386,1.6076815497174028
brown bread,yogurt,0.014539908490086425,0.22413793103448273,1.606703026038001
chicken,whole milk,0.01759023894255211,0.4099526066350711,1.6044106192821026
beef,yogurt,0.011692933401118455,0.22286821705426357,1.5976012498022465
berries,other vegetables,0.010269445856634469,0.308868501529052,1.5962804585066874
white bread,whole milk,0.01708185053380783,0.4057971014492754,1.5881474304630414
beef,whole milk,0.02125063548551093,0.4050387596899225,1.5851795469758803
tropical fruit,whole milk,0.04229791560752415,0.40310077519379844,1.5775949558420244
oil,whole milk,0.01128622267412303,0.40217391304347827,1.57396754269105
yogurt,whole milk,0.05602440264361973,0.40160349854227406,1.5717351405345266
whole milk,yogurt,0.05602440264361973,0.21925984878631116,1.5717351405345263
chocolate,soda,0.013523131672597865,0.2725409836065574,1.5629391100702577
pip fruit,whole milk,0.030096593797661414,0.3978494623655914,1.5570431605115762
onions,whole milk,0.012099644128113879,0.3901639344262295,1.5269647015845471
hygiene articles,whole milk,0.012811387900355872,0.38888888888888884,1.5219746208604144
brown bread,whole milk,0.02521606507371632,0.3887147335423197,1.5212930379581036
other vegetables,whole milk,0.07483477376715811,0.38675775091960063,1.5136340948246207
whole milk,other vegetables,0.07483477376715811,0.2928770393951452,1.5136340948246205
"whole milk, yogurt",rolls/buns,0.015556685307574987,0.2776769509981851,1.5096477684174407
pork,whole milk,0.022165734621250637,0.3844797178130512,1.504718672778097
fruit/vegetable juice,other vegetables,0.021047280122013217,0.2911392405063291,1.5046528798632406
bottled water,soda,0.028978139298423997,0.2621895124195032,1.5035765916302124
"soda, yogurt",whole milk,0.01047280122013218,0.38289962825278806,1.4985347568110507
sausage,yogurt,0.019623792577529234,0.2088744588744589,1.4972888506051771
brown bread,other vegetables,0.018708693441789527,0.28840125391849525,1.490502539300263
bottled water,yogurt,0.022979156075241484,0.20791168353265868,1.4903873232825786
sausage,soda,0.024300965937976614,0.25865800865800864,1.483324498630621
sausage,other vegetables,0.026944585663446874,0.2867965367965368,1.4822091116100575
"other vegetables, sausage",whole milk,0.010167768174885612,0.3773584905660377,1.4768486887055234
long life bakery product,other vegetables,0.010676156583629894,0.28532608695652173,1.474609598117389
napkins,whole milk,0.019725470259278087,0.37669902912621356,1.4742677880844848
salty snack,other vegetables,0.010777834265378749,0.28494623655913975,1.472646472180315
pastry,whole milk,0.033248601931875954,0.3737142857142857,1.4625865499403103
fruit/vegetable juice,soda,0.01840366039654296,0.2545710267229255,1.459886908349838
dessert,whole milk,0.013726487036095577,0.3698630136986301,1.4475140229709618
frankfurter,other vegetables,0.016471784443314694,0.2793103448275862,1.44351930708319
citrus fruit,whole milk,0.030503304524656837,0.36855036855036855,1.4423767905662055
fruit/vegetable juice,whole milk,0.026639552618200304,0.36849507735583686,1.4421604002366317
"other vegetables, yogurt",rolls/buns,0.011489578037620742,0.26463700234192034,1.4387534096366978
shopping bags,soda,0.024605998983223184,0.2497420020639835,1.4321939302036606
napkins,other vegetables,0.01443823080833757,0.2757281553398058,1.4250059946226958
long life bakery product,whole milk,0.013523131672597865,0.36141304347826086,1.414443805256146
"root vegetables, whole milk",rolls/buns,0.012709710218607015,0.2598752598752599,1.412865218835368
beef,rolls/buns,0.01362480935434672,0.2596899224806201,1.4118575940281364
"tropical fruit, whole milk",rolls/buns,0.010981189628876462,0.25961538461538464,1.4114523536165327
"other vegetables, root vegetables",rolls/buns,0.012201321809862735,0.2575107296137339,1.4000099644837327
white bread,soda,0.010269445856634469,0.24396135265700483,1.399043675441191
berries,whole milk,0.01179461108286731,0.3547400611620795,1.3883280945201162
margarine,rolls/buns,0.014743263853584139,0.2517361111111111,1.3686150651065658
frankfurter,whole milk,0.020538891713268937,0.3482758620689655,1.3630294880414944
pastry,soda,0.021047280122013217,0.23657142857142854,1.3566647230320699
waffles,other vegetables,0.010066090493136757,0.2619047619047619,1.3535645472061657
newspapers,rolls/buns,0.019725470259278087,0.2471337579617834,1.3435934270614371
domestic eggs,rolls/buns,0.015658362989323844,0.24679487179487178,1.3417510028206543
newspapers,whole milk,0.027351296390442297,0.34267515923566877,1.3411103028582578
yogurt,rolls/buns,0.03436705643111337,0.2463556851311953,1.339363274331291
chocolate,other vegetables,0.012709710218607015,0.25614754098360654,1.3238103339851657
butter,rolls/buns,0.013421453990849009,0.24220183486238533,1.3167800143015809
chocolate,whole milk,0.016675139806812404,0.3360655737704918,1.3152427051463536
napkins,soda,0.011997966446365024,0.229126213592233,1.313968694273826
pastry,other vegetables,0.02257244534824606,0.2537142857142857,1.3112348922753547
"other vegetables, whole milk",rolls/buns,0.017895271987798677,0.23913043478260868,1.3000817170187706
waffles,whole milk,0.012709710218607015,0.3306878306878307,1.294196106173822
chocolate,rolls/buns,0.01179461108286731,0.2377049180327869,1.2923316024612819
pastry,rolls/buns,0.02094560244026436,0.2354285714285714,1.2799557766721943
tropical fruit,rolls/buns,0.024605998983223184,0.23449612403100775,1.274886334906004
coffee,whole milk,0.018708693441789527,0.3222416812609457,1.261140841703701
newspapers,other vegetables,0.019318759532282664,0.24203821656050956,1.2508911507475624
sausage,whole milk,0.0298932384341637,0.3181818181818182,1.2452519625221574
bottled water,whole milk,0.03436705643111337,0.31094756209751606,1.2169396232507244
shopping bags,other vegetables,0.023182511438739197,0.23529411764705885,1.21603659855955
napkins,rolls/buns,0.011692933401118455,0.22330097087378642,1.2140215857068486
root vegetables,rolls/buns,0.024300965937976614,0.22294776119402987,1.2121012887469782
bottled beer,soda,0.016980172852058974,0.21085858585858586,1.2092094413522985
whole milk,rolls/buns,0.05663446873411286,0.22164743334659767,1.2050317893663836
rolls/buns,whole milk,0.05663446873411286,0.30790491984521834,1.2050317893663836
other vegetables,rolls/buns,0.042602948652770714,0.22017866526537044,1.1970465300635258
rolls/buns,other vegetables,0.042602948652770714,0.23161967938087338,1.1970465300635258
soda,rolls/buns,0.03833248601931876,0.21982507288629738,1.1951241524802292
rolls/buns,soda,0.03833248601931876,0.2084024322830293,1.1951241524802292
coffee,other vegetables,0.013421453990849009,0.23117338003502627,1.194739985625057
bottled water,rolls/buns,0.024199288256227757,0.21895124195032198,1.1903733911450616
pork,soda,0.011896288764616167,0.20634920634920637,1.183349530288306
bottled water,other vegetables,0.024809354346720894,0.22447102115915363,1.1601011524436553
salty snack,whole milk,0.011184544992374174,0.29569892473118276,1.1572618084883335
frozen vegetables,rolls/buns,0.010167768174885612,0.2114164904862579,1.1494091674584557
whipped/sour cream,rolls/buns,0.014641586171835282,0.20425531914893616,1.1104759888500757
citrus fruit,rolls/buns,0.01677681748856126,0.20270270270270271,1.102034870691587
fruit/vegetable juice,rolls/buns,0.014539908490086425,0.2011251758087201,1.0934583217682488
bottled beer,other vegetables,0.016166751398068124,0.20075757575757575,1.0375463781270402
bottled beer,whole milk,0.02043721403152008,0.2537878787878788,0.9932366843926732
shopping bags,whole milk,0.024504321301474327,0.24871001031991746,0.9733636894136045
soda,whole milk,0.040061006609049314,0.22973760932944606,0.8991123707740158
